,Year,Month,Day,avgtempC,windspeedKmph,humidity,visibilityKm,pressureInches,cloudcover,HeatIndexC,weatherDesc,totalprecipMM
0,2008,7,1,24,16,67,10,30,60,26,1,0.3
1,2008,7,2,24,16,69,10,30,58,26,1,3.9
2,2008,7,3,25,12,68,9,30,39,26,1,9.8
3,2008,7,4,24,12,71,9,30,33,26,1,8.8
4,2008,7,5,24,13,72,10,30,31,25,1,0.2
5,2008,7,6,24,15,71,10,30,42,25,3,1.2
6,2008,7,7,23,16,70,10,30,56,25,1,0.8
7,2008,7,8,24,15,69,10,30,54,25,2,1.3
8,2008,7,9,24,15,70,10,30,57,26,1,1.6
9,2008,7,10,25,15,65,10,30,38,26,1,0
10,2008,7,11,24,15,66,10,30,42,25,1,3
11,2008,7,12,24,13,66,10,30,35,25,1,4.1
12,2008,7,13,25,8,66,10,30,39,26,1,3.8
13,2008,7,14,24,6,83,8,30,76,26,4,89.5
14,2008,7,15,24,5,85,8,30,55,26,4,60.3
15,2008,7,16,23,7,87,8,30,57,25,5,27.8
16,2008,7,17,24,8,83,8,30,47,25,6,8
17,2008,7,18,23,10,85,7,30,40,25,4,13
18,2008,7,19,22,9,87,9,30,67,24,6,5.1
19,2008,7,20,23,7,84,7,30,48,25,4,17.8
20,2008,7,21,24,7,80,7,30,51,26,1,13.6
21,2008,7,22,24,6,85,8,30,59,26,4,17.3
22,2008,7,23,23,7,89,8,30,69,26,4,30.3
23,2008,7,24,22,11,90,7,30,68,24,4,12.5
24,2008,7,25,22,15,87,6,30,78,23,7,1.2
25,2008,7,26,22,18,81,10,30,82,24,7,1.5
26,2008,7,27,21,18,85,9,30,74,23,2,1
27,2008,7,28,21,19,86,10,30,86,22,6,5.4
28,2008,7,29,22,17,81,10,30,73,23,7,0.3
29,2008,7,30,23,17,77,10,30,67,25,1,0
30,2008,7,31,23,16,78,10,30,70,24,7,0.5
31,2008,8,1,23,15,76,10,30,56,25,1,0.7
32,2008,8,2,23,14,79,10,30,55,25,2,1.9
33,2008,8,3,22,14,83,10,30,53,24,3,0.9
34,2008,8,4,22,15,82,10,30,67,24,3,2.6
35,2008,8,5,23,14,79,10,30,54,23,3,2.5
36,2008,8,6,22,15,81,10,30,76,24,7,0.4
37,2008,8,7,23,17,78,9,30,76,24,6,2.1
38,2008,8,8,21,18,87,7,30,85,22,7,34.1
39,2008,8,9,20,18,91,9,30,91,20,6,8.1
40,2008,8,10,20,18,92,8,30,83,21,8,9.2
41,2008,8,11,22,19,86,8,30,87,23,2,0.6
42,2008,8,12,23,11,89,8,30,84,24,2,12.5
43,2008,8,13,21,11,95,7,30,93,21,9,14.1
44,2008,8,14,21,12,91,7,30,84,22,7,2.2
45,2008,8,15,22,13,85,10,30,79,23,7,0.6
46,2008,8,16,23,11,84,9,30,57,24,1,7.7
47,2008,8,17,23,9,85,6,30,63,25,10,24.6
48,2008,8,18,23,8,87,6,30,60,24,4,22.6
49,2008,8,19,23,7,88,8,30,60,25,6,15.7
50,2008,8,20,22,8,87,8,30,46,24,4,13.4
51,2008,8,21,22,10,90,5,30,44,23,11,8.37
52,2008,8,22,23,11,82,8,30,43,24,1,2.9
53,2008,8,23,23,10,77,9,30,45,25,12,0.6
54,2008,8,24,24,6,76,9,30,26,25,3,7.2
55,2008,8,25,24,5,81,9,30,48,26,1,6.4
56,2008,8,26,25,3,80,6,30,41,27,1,19.1
57,2008,8,27,23,4,89,7,30,70,26,4,30.5
58,2008,8,28,24,4,88,7,30,75,27,13,45.1
59,2008,8,29,24,5,90,8,30,59,27,4,30.4
